Type,2008,2012,2016
Total sequestration (removal (tCO2e/yr)),"-74,842.11 ","-74,543.11 ","-79,003.55 "
Total emissions (from harvest (tCO2e/yr))," 8,688.65 "," 5,748.80 "," 9,477.84 "
